"Rank","Name","Country","D_Score","E_Score","Penalty","Score","Round","Date","Apparatus","Gender","Competition"
8,"Igor Radivilov","Ukraine",7,9.266,NA,16.266,"qual",2012-07-28,"VT1","m","Olympic Games"
8,"Igor Radivilov","Ukraine",7,8.633,0.3,15.333,"qual",2012-07-28,"VT2","m","Olympic Games"
9,"Dmitry Kasperovich","Belarus",7,9.333,NA,16.333,"qual",2012-07-28,"VT1","m","Olympic Games"
9,"Dmitry Kasperovich","Belarus",7,8.3,0.3,15,"qual",2012-07-28,"VT2","m","Olympic Games"
10,"Matteo Angioletti","Italy",7,8.866,0.3,15.566,"qual",2012-07-28,"VT1","m","Olympic Games"
10,"Matteo Angioletti","Italy",6.6,9,NA,15.6,"qual",2012-07-28,"VT2","m","Olympic Games"
11,"Oleg Verniaiev","Ukraine",7,9.333,NA,16.333,"qual",2012-07-28,"VT1","m","Olympic Games"
11,"Oleg Verniaiev","Ukraine",6.6,8.466,0.3,14.766,"qual",2012-07-28,"VT2","m","Olympic Games"
12,"Mohamed El-Saharty","Egypt",6.2,9.266,NA,15.466,"qual",2012-07-28,"VT1","m","Olympic Games"
12,"Mohamed El-Saharty","Egypt",6.2,9.3,NA,15.5,"qual",2012-07-28,"VT2","m","Olympic Games"
13,"Shek Wai Hung","Hong Kong SAR China",6.6,8.4,0.1,14.9,"qual",2012-07-28,"VT1","m","Olympic Games"
13,"Shek Wai Hung","Hong Kong SAR China",7,9.033,NA,16.033,"qual",2012-07-28,"VT2","m","Olympic Games"
14,"Jake Dalton","United States",7,9.2,0.3,15.9,"qual",2012-07-28,"VT1","m","Olympic Games"
14,"Jake Dalton","United States",6.6,8.266,0.1,14.766,"qual",2012-07-28,"VT2","m","Olympic Games"
15,"Artur Davtyan","Armenia",6.2,8.266,0.3,14.166,"qual",2012-07-28,"VT1","m","Olympic Games"
15,"Artur Davtyan","Armenia",6.2,9.3,NA,15.5,"qual",2012-07-28,"VT2","m","Olympic Games"
16,"Kim Soo-myun","South Korea",6.6,9.066,NA,15.666,"qual",2012-07-28,"VT1","m","Olympic Games"
16,"Kim Soo-myun","South Korea",4.2,8.958,NA,13.158,"qual",2012-07-28,"VT2","m","Olympic Games"
17,"Koji Yamamuro","Japan",7,8.633,0.3,15.333,"qual",2012-07-28,"VT1","m","Olympic Games"
17,"Koji Yamamuro","Japan",4.2,9,NA,13.2,"qual",2012-07-28,"VT2","m","Olympic Games"
1,"Denis Ablyazin","Russia",7.1,9.2665,NA,16.3665,"qual",2012-07-28,"VT","m","Olympic Games"
2,"Yang Hak-seon","South Korea",7,9.333,NA,16.333,"qual",2012-07-28,"VT","m","Olympic Games"
3,"Tomás González","Chile",6.8,9.3995,0.1,16.1495,"qual",2012-07-28,"VT","m","Olympic Games"
4,"Sam Mikulak","United States",6.8,9.283,NA,16.083,"qual",2012-07-28,"VT","m","Olympic Games"
5,"Kristian Thomas","United Kingdom",6.8,9.233,0.1,15.983,"qual",2012-07-28,"VT","m","Olympic Games"
6,"Flavius Koczi",NA,7,9.0495,0.1,15.9495,"qual",2012-07-28,"VT","m","Olympic Games"
7,"Isaac Botella","Spain",6.6,9.233,NA,15.833,"qual",2012-07-28,"VT","m","Olympic Games"
8,"Igor Radivilov","Ukraine",7,8.9495,0.3,15.7995,"qual",2012-07-28,"VT","m","Olympic Games"
9,"Dmitry Kasperovich","Belarus",7,8.8165,0.3,15.6665,"qual",2012-07-28,"VT","m","Olympic Games"
10,"Matteo Angioletti","Italy",6.8,8.933,0.3,15.583,"qual",2012-07-28,"VT","m","Olympic Games"
11,"Oleg Verniaiev","Ukraine",6.8,8.8995,0.3,15.5495,"qual",2012-07-28,"VT","m","Olympic Games"
12,"Mohamed El-Saharty","Egypt",6.2,9.283,NA,15.483,"qual",2012-07-28,"VT","m","Olympic Games"
13,"Shek Wai Hung","Hong Kong SAR China",6.8,8.7165,0.1,15.4665,"qual",2012-07-28,"VT","m","Olympic Games"
14,"Jake Dalton","United States",6.8,8.733,0.2,15.333,"qual",2012-07-28,"VT","m","Olympic Games"
15,"Artur Davtyan","Armenia",6.2,8.783,0.3,14.833,"qual",2012-07-28,"VT","m","Olympic Games"
16,"Kim Soo-myun","South Korea",5.4,9.012,NA,14.412,"qual",2012-07-28,"VT","m","Olympic Games"
17,"Koji Yamamuro","Japan",5.6,8.8165,0.3,14.2665,"qual",2012-07-28,"VT","m","Olympic Games"
1,"Yang Hak-seon","South Korea",7.4,9.066,NA,16.466,"final",2012-08-06,"VT1","m","Olympic Games"
1,"Yang Hak-seon","South Korea",7,9.6,NA,16.6,"final",2012-08-06,"VT2","m","Olympic Games"
2,"Denis Ablyazin","Russia",7,9.433,NA,16.433,"final",2012-08-06,"VT1","m","Olympic Games"
2,"Denis Ablyazin","Russia",7.2,9.166,NA,16.366,"final",2012-08-06,"VT2","m","Olympic Games"
3,"Igor Radivilov","Ukraine",7,9.4,NA,16.4,"final",2012-08-06,"VT1","m","Olympic Games"
3,"Igor Radivilov","Ukraine",7,9.233,NA,16.233,"final",2012-08-06,"VT2","m","Olympic Games"
4,"Tomás González","Chile",7,9.4,NA,16.4,"final",2012-08-06,"VT1","m","Olympic Games"
4,"Tomás González","Chile",6.6,9.366,NA,15.966,"final",2012-08-06,"VT2","m","Olympic Games"
5,"Sam Mikulak","United States",7,9.1,NA,16.1,"final",2012-08-06,"VT1","m","Olympic Games"
5,"Sam Mikulak","United States",6.6,9.4,NA,16,"final",2012-08-06,"VT2","m","Olympic Games"
6,"Isaac Botella","Spain",6.6,9.3,NA,15.9,"final",2012-08-06,"VT1","m","Olympic Games"
6,"Isaac Botella","Spain",6.6,9.233,NA,15.833,"final",2012-08-06,"VT2","m","Olympic Games"
7,"Flavius Koczi","Romania",7,9.2,0.1,16.1,"final",2012-08-06,"VT1","m","Olympic Games"
7,"Flavius Koczi","Romania",6.2,9.066,0.1,15.166,"final",2012-08-06,"VT2","m","Olympic Games"
8,"Kristian Thomas","Great Britain",7,9.366,NA,16.366,"final",2012-08-06,"VT1","m","Olympic Games"
8,"Kristian Thomas","Great Britain",6.6,8.2,0.1,14.7,"final",2012-08-06,"VT2","m","Olympic Games"
1,"Yang Hak-seon","South Korea",7.2,9.333,NA,16.533,"final",2012-08-06,"VT","m","Olympic Games"
2,"Denis Ablyazin","Russia",7.1,9.2995,NA,16.3995,"final",2012-08-06,"VT","m","Olympic Games"
3,"Igor Radivilov","Ukraine",7,9.3165,NA,16.3165,"final",2012-08-06,"VT","m","Olympic Games"
4,"Tomás González","Chile",6.8,9.383,NA,16.183,"final",2012-08-06,"VT","m","Olympic Games"
5,"Sam Mikulak","United States",6.8,9.25,NA,16.05,"final",2012-08-06,"VT","m","Olympic Games"
6,"Isaac Botella","Spain",6.6,9.2665,NA,15.8665,"final",2012-08-06,"VT","m","Olympic Games"
7,"Flavius Koczi","Romania",6.6,9.133,0.1,15.633,"final",2012-08-06,"VT","m","Olympic Games"
8,"Kristian Thomas","Great Britain",6.8,8.783,0.1,15.533,"final",2012-08-06,"VT","m","Olympic Games"
1,"McKayla Maroney","United States",6.5,9.4,NA,15.9,"qual",2012-08-05,"VT1","w","Olympic Games"
1,"McKayla Maroney","United States",6.1,9.6,NA,15.7,"qual",2012-08-05,"VT2","w","Olympic Games"
